====================================================================
  NPB SP PENTADIAGONAL HIBRIDO + TELEMETRIA NVML (NVIDIA RTX 5000 Ada Generation)
  Malha: 1040384 linhas (1061191680 pontos/iter) | 1000 iteracoes | Trava Termica: 84 C
  Total previsto: 1.061e+12 pontos | 1.040e+09 sistemas lineares (n=1020)
====================================================================
[Iter    1/1000] t=189.4 ms | ck=188943960.480809 | GPU=52C 20.9W | G2897/C1167 | ETA 5984s
[Iter    2/1000] t=166.2 ms | ck=- | GPU=52C 60.3W | G2924/C1140 | ETA 3072s
[Iter    3/1000] t=158.6 ms | ck=- | GPU=52C 60.3W | G2975/C1089 | ETA 2099s
[Iter    4/1000] t=147.5 ms | ck=- | GPU=52C 60.3W | G3042/C1022 | ETA 1609s
[Iter    5/1000] t=169.8 ms | ck=- | GPU=52C 60.3W | G2888/C1176 | ETA 1320s
[Iter    6/1000] t=159.7 ms | ck=- | GPU=54C 86.0W | G2960/C1104 | ETA 1126s
[Iter    7/1000] t=160.2 ms | ck=- | GPU=54C 86.0W | G2956/C1108 | ETA 987s
[Iter    8/1000] t=146.8 ms | ck=- | GPU=54C 86.0W | G3052/C1012 | ETA 881s
[Iter    9/1000] t=149.3 ms | ck=- | GPU=55C 150.2W | G3035/C1029 | ETA 798s
[Iter   10/1000] t=134.5 ms | ck=- | GPU=55C 150.2W | G3140/C924 | ETA 731s
[Iter   25/1000] t=176.5 ms | ck=- | GPU=56C 152.3W | G2838/C1226 | ETA 380s
[Iter   50/1000] t=156.3 ms | ck=- | GPU=57C 154.7W | G2984/C1080 | ETA 257s
[Iter   75/1000] t=189.9 ms | ck=- | GPU=58C 155.2W | G2748/C1316 | ETA 217s
[Iter  100/1000] t=156.7 ms | ck=188943960.480760 | GPU=60C 153.1W | G2984/C1080 | ETA 235s
[Iter  125/1000] t=178.3 ms | ck=- | GPU=61C 151.9W | G2832/C1232 | ETA 213s
[Iter  150/1000] t=154.2 ms | ck=- | GPU=62C 141.6W | G2997/C1067 | ETA 196s
[Iter  175/1000] t=176.5 ms | ck=- | GPU=64C 175.2W | G2848/C1216 | ETA 181s
[Iter  200/1000] t=164.9 ms | ck=188943960.480806 | GPU=64C 152.7W | G2950/C1114 | ETA 187s
[Iter  225/1000] t=171.8 ms | ck=- | GPU=65C 161.8W | G2873/C1191 | ETA 174s
[Iter  250/1000] t=169.8 ms | ck=- | GPU=65C 161.1W | G2895/C1169 | ETA 163s
[Iter  275/1000] t=172.1 ms | ck=- | GPU=67C 163.5W | G2873/C1191 | ETA 154s
[Iter  300/1000] t=158.7 ms | ck=188943960.480758 | GPU=68C 166.9W | G2968/C1096 | ETA 156s
